supplier_name,supplier_code,purchase_batch,product_sku,product_name,unit,qty,cost_unit,total_cost,etiqueta_nuevo
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-E325832F3F,Escobilla Pequeña de Zapato,Unidad,14.0,1.0,14.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-2B3E112B79,Betun Marron Grande,Unidad,2.0,2.0,4.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-7CBD13501A,Betun Marron Pequeño,Unidad,23.0,1.5,34.5,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-2DF149588E,Esponja Merlin,Paquete,6.0,8.0,48.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-3AD10ADE3E,Pompones,Unidad,14.0,0.0,0.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-5B727C91A4,Batisoga pequeño,Unidad,10.0,1.5,15.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-B8D34F9520,Batisoga grande,Unidad,11.0,2.163636,23.8,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-259711D0CD,Super esponja,Paquete,8.0,5.5,44.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-3F113AD6D9,Trish,Paquete,11.0,3.6,39.6,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-3BE5E01407,Cinta de color maskin taps,Unidad,7.0,2.328571,16.3,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-98985FC2E2,Cinta electrica,Unidad,9.0,0.8,7.2,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-51D94161E4,Cinta Leon scosh pq grueso 18*45,Unidad,8.0,1.0,8.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-816F692D19,Cinta Durafan scosh  pequeño12*14,Unidad,31.0,0.2,6.2,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-EE5659CFF7,Cinta Grande Durango embalaje,Paquete,2.0,15.0,30.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-0AF223D840,Cinta Grande Brudan Peru embalaje,Paquete,11.0,4.5,49.5,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-80852C9B2C,Cinta Maskin Pegafan 24mm,Unidad,16.0,2.0,32.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-79766A3EC4,Cinta Maskin Pegafan 36mm,Unidad,3.0,3.0,9.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-FE61DF628C,Cinta Maskin Pegafan 48mm,Unidad,12.0,3.166667,38.0,
