supplier_name,supplier_code,purchase_batch,product_sku,product_name,unit,qty,cost_unit,total_cost,etiqueta_nuevo
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-64AF411C73,Set de escuadras kuromi,Unidad,4.0,3.0,12.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-67EC263080,Regla expandible,Unidad,3.0,4.2,12.6,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-8A83060E82,Tarjador animalitos,Unidad,3.0,3.4,10.2,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-6549630E71,Set borradores rabbit y comida rapida x3,Unidad,3.0,2.7,8.1,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-0B24D6F164,Set de borradores modelo oso queso x 3,Unidad,1.0,2.8,2.8,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-4D785AB75B,Llavero capibara televisor,Unidad,3.0,5.8,17.4,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-D7B21404F3,Llavero capibara monedero,Unidad,5.0,6.6,33.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-0202856B37,lapicero escarchado x 6,Unidad,3.0,6.4,19.2,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-50A319EDA9,cinta capibara,Paquete,2.0,6.1,12.2,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-56432F1B7F,Set de resaltador pastel x 6,Unidad,3.0,5.4,16.2,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-145EBEB2A3,Lapicero tinta gel con orejitas,Unidad,3.0,2.7,8.1,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-04E6FF7B12,Lapicero borrable conejo,Unidad,3.0,1.8,5.4,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-CFBA4FF0E5,Lapicero borrrable chocolate osito,Unidad,3.0,2.2,6.6,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-F3BED90DF2,Corrector,Unidad,4.0,1.4,5.6,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-C74ADF4922,Hojas de color 100 und,Paquete,2.0,4.2,8.4,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-DCB1B82D14,Plumon de pizarra vikingo x12,Cajitas,3.0,11.0,33.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-93E5BF3071,Microporoso escarchado A4,Paquete,1.0,3.5,3.5,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-B353E19BF7,Silicona en barrra,Sobre,1.0,13.5,13.5,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-232269CDDF,Vaso de plastico,Docena,2.0,10.0,20.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-A8C9B88E81,micas con diseño,Unidad,3.0,3.0,9.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-06298A559F,loncheras,Unidad,2.0,3.0,6.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-3BE02203E7,posit cuadriculado,Unidad,4.0,3.0,12.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-F7DA7DEB25,borradores transparentes,Unidad,3.0,2.5,7.5,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-6AFF87246E,goma en barra ranparente,Unidad,3.0,2.5,7.5,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-44763E1EDC,lapiceros kuromi,Unidad,3.0,5.0,15.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-0868F564AF,lapiceros capibara,Unidad,3.0,2.5,7.5,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-B6B52CD788,borradores patita,Unidad,3.0,3.0,9.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-C031FE8F76,cuadernos anillados capibara,Unidad,4.0,2.625,10.5,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-64BDAEE8CD,lapiceros happy,Unidad,3.0,1.0,3.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-B8814F277F,lapiceros osito,Unidad,2.0,2.0,4.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-8C03C7B0A4,lapiz con diseño,Cajitas,1.0,4.0,4.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-488624C093,cartucheras,Unidad,2.0,9.0,18.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-8601F96067,Puntero,Docena,1.0,34.0,34.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-93E5BF3071,Microporoso escarchado A4,Paquete,2.0,6.5,13.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-EC04730CBE,chinches,Cajas,1.0,12.0,12.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-980BA39232,tiros,Sobre,2.0,5.0,10.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-D80DB7710E,papel sedita,Unidad,100.0,0.18,18.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-2981C63A39,escarcha bliquida grande,Paquete,1.0,28.0,28.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-1046AB44A5,glitter de escarcha liquida x 6,Unidad,6.0,4.0,24.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-383B65F71F,rosas con osito,Unidad,12.0,2.5,30.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-0C2AB09E16,rositas x 3,Paquete,1.0,8.0,8.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-44D2FC2D50,rosas,Paquete,2.0,4.5,9.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-58B59695F9,tasa con rosas,Unidad,3.0,13.0,39.0,
