sale_ref,customer_code,customer_name,product_sku,product_name,brand,tipo,unit,qty,price_unit,line_total,cost_total,profit_total,weeks
VENTA-2025-0112,CLI-2025,clients-2025,SKU-6884E99187,Papelote blanco,,Papel,Unidad,9.0,0.7,6.3,1.8,4.5,SEMANA-2-A
VENTA-2025-0113,CLI-2025,clients-2025,SKU-6A944058B9,Lapicero Trilux - 035,Faber Castell,Lapicero,Unidad,2.0,1.0,2.0,1.4,0.6,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0114,CLI-2025,clients-2025,SKU-6AD4414B14,Cartuchera surtido cuero,,,unidad,5.0,10.0,50.0,27.5,22.5,SEMANA-1-A
VENTA-2025-0115,CLI-2025,clients-2025,SKU-6B0F82BDFF,bloques,,Juegos didacticos,unidad,3.0,12.0,36.0,19.5,16.5,SEMANA-1-A
VENTA-2025-0116,CLI-2025,clients-2025,SKU-6E4CFB4AB7,cinta de cabello verde y kaky,,,unidad,1.0,0.5,0.5,0.3,0.2,SEMANA-3-A
VENTA-2025-0117,CLI-2025,clients-2025,SKU-6F46528248,Camion con toro CMN12,,Juguetes,Unidad,2.0,12.0,24.0,14.0,10.0,SEMANA-1-A
VENTA-2025-0118,CLI-2025,clients-2025,SKU-6F4B1E2A08,Cuter por tiras d 12,,Cuter,unidad,6.0,1.5,9.0,4.0,5.0,"SEMANA-1-A,SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0119,CLI-2025,clients-2025,SKU-7104AD1984,Cuatrimoto 876/886,,Juguetes,Unidad,3.0,12.0,36.0,24.0,12.0,"SEMANA-1-A,SEMANA-2-A"
VENTA-2025-0120,CLI-2025,clients-2025,SKU-71703659EC,"Botellas de Temperas (Amarillo, rojo, Azul) -  (Rojo, azul,  verde, amarillo, negro, blanco)",Layconsa,Tempera,Unidad,16.0,7.0,112.0,72.0,40.0,"SEMANA-1-A,SEMANA-1-B"
VENTA-2025-0121,CLI-2025,clients-2025,SKU-719315C9EF,Nombre de cuaderno,,,Unidad,10.0,0.2,2.0,1.0,1.0,SEMANA-1-A
VENTA-2025-0122,CLI-2025,clients-2025,SKU-7346AC1948,Cuaderno surco triple reglon 100 h,Surco,cuadernos,Unidad,10.0,3.5,35.0,23.025,11.975,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0123,CLI-2025,clients-2025,SKU-73ECB72794,Colores Jumbo,Layconsa,Colores,unidad,2.0,15.0,30.0,20.6667,9.3333,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0124,CLI-2025,clients-2025,SKU-74D37CB40E,Cinta scoth delgado,,Cinta,unidad,15.0,1.0,15.0,3.5417,11.4583,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0125,CLI-2025,clients-2025,SKU-7538FE51BC,Tijera Artesco mango goma,Artesco,Tijera,unidad,3.0,8.0,24.0,19.5,4.5,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0126,CLI-2025,clients-2025,SKU-76AF86874F,cuaderno surco con diseño A4 100h,surco,cuadernos,Unidad,7.0,4.5,31.5,16.38,15.12,SEMANA-1-A
VENTA-2025-0127,CLI-2025,clients-2025,SKU-7762F9C08A,Papel Crepe,,Papel,Unidad,61.0,1.0,61.0,28.6545,32.3455,"SEMANA-1-A,SEMANA-1-B,SEMANA-2-A,SEMANA-2-B,SEMANA-3-A,SEMANA-3-B"
VENTA-2025-0128,CLI-2025,clients-2025,SKU-77F19E15CF,Pasta dental,,,unidad,10.0,3.5,35.0,28.3333,6.6667,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0129,CLI-2025,clients-2025,SKU-78A62B9611,Papel Lustre,,Papel,Unidad,33.0,0.5,16.5,7.9,8.6,"SEMANA-2-A,SEMANA-3-A,SEMANA-3-B"
VENTA-2025-0130,CLI-2025,clients-2025,SKU-78B895FADB,Plumon L-47 papel,Layconsa,Plumon,unidad,11.0,2.0,22.0,16.5,5.5,"SEMANA-1-A,SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0131,CLI-2025,clients-2025,SKU-7A82393C55,Baja Lengua - Blanco,,,Unidad,25.0,1.0,25.0,11.5,13.5,"SEMANA-2-A,SEMANA-3-A,SEMANA-3-B"
VENTA-2025-0132,CLI-2025,clients-2025,SKU-7AA172D62E,Plumon Jumbo 123,Faber Castell,Plumon,Unidad,6.0,5.0,30.0,18.75,11.25,SEMANA-1-A
VENTA-2025-0133,CLI-2025,clients-2025,SKU-7AA60686F3,Plumones Marcador 6 uni -,Faber Castell,Plumon,Unidad,1.0,5.0,5.0,4.0,1.0,SEMANA-1-A
VENTA-2025-0134,CLI-2025,clients-2025,SKU-7B58D3DC43,Lapicero Trilux Rojo-032,Faber Castell,Lapicero,Unidad,9.0,1.0,9.0,3.96,5.04,"SEMANA-1-A,SEMANA-3-A"
