sku,producto,tipo,marca,unidad,precio_venta_referencia,costo_referencia,etiqueta_nuevo
SKU-3AD10ADE3E,Pompones,,,Unidad,3.5,0.0,false
SKU-5FE2F611DF,Portafolio Papel,Portafolio,,Unidad,8.0,5.0,true
SKU-3BE02203E7,posit cuadriculado,,,unidad,0.0,0.0,true
SKU-D9A535C356,Pozzis limpiatipo,,,Unidad,4.0,1.825,true
SKU-479171A7EE,Pulsera ojito,,,Unidad,1.5,0.6364,false
SKU-8601F96067,Puntero,,,unidad,0.0,0.0,true
SKU-00358783C1,Ray Perú y Artesco,Portafolio,,Unidad,10.0,5.3333,false
SKU-67EC263080,Regla expandible,,,unidad,0.0,0.0,true
SKU-FAB7A65F90,Reglas de 20 cm,Regla,Layconsa,Unidad,1.0,0.5579,false
SKU-AB58B8B259,Reglas de 30 cm,Regla,Artesco,Unidad,1.5,0.6408,false
SKU-657537C0BB,Resaltador,,,Unidad,2.5,1.3333,false
SKU-250A95296D,Resaltador pastel x 6 und,Resaltador,,unidad,0.0,0.0,true
SKU-5253FC1878,Rompecabezas de 20 piesas,Rompecabezas,,Unidad,10.0,5.8261,false
SKU-114F4CCCFD,Rompecabezas de 50 piesas,Rompecabezas,,Unidad,15.0,15.0,false
SKU-44D2FC2D50,rosas,,,unidad,0.0,0.0,true
SKU-383B65F71F,rosas con osito,,,unidad,0.0,0.0,true
SKU-0C2AB09E16,rositas x 3,,,unidad,0.0,0.0,true
SKU-A0151E5DAD,Saca Punta,Saca Punta,Vinifan,Unidad,2.0,0.6667,false
SKU-403887F2ED,Saca Punta con Deposito,Saca Punta,Artesco,Unidad,3.5,2.0,false
SKU-D417DACFAA,Saca Punta con Deposito,Saca Punta,Picaso,Unidad,2.0,1.0,false
SKU-EAF5D42FCB,Saca Punta con Deposito,Saca Punta,Oval,Unidad,2.0,1.0,false
SKU-35AF7B573B,Saca Punta con Deposito 8917,Saca Punta,Relampago,Unidad,2.0,1.0,false
SKU-3F04396584,Saca Punta con M-207,Saca Punta,,Unidad,0.5,0.2542,false
SKU-937E9BF695,Saca Punta M-557,Saca Punta,Artesco,Unidad,2.0,0.6667,false
