product_id,sku,name,brand,product_type,status,suggested_category,score,reason
f2cc6229-a088-4f9b-81e1-18a739a03f32,SKU-44D2FC2D50,rosas,,,pending_manual,,,
9cd545eb-06ef-4ede-8c0a-fd2e7b77fb7c,SKU-383B65F71F,rosas con osito,,,pending_manual,,,
3e35e197-b52f-4a7a-badd-8c6a48821539,SKU-0C2AB09E16,rositas x 3,,,pending_manual,,,
c266a889-d120-41f9-8213-3e414d17fc39,SKU-B2904A3F21,serpentina,,,pending_manual,,,
984f3709-b110-46b2-8783-7062ae104bd0,SKU-6549630E71,Set borradores rabbit y comida rapida x3,,,assign_high_confidence,Borrador,5,phrase_match
90cb7f53-dc08-4329-96c9-38d3c857f628,SKU-0B24D6F164,Set de borradores modelo oso queso x 3,,,assign_high_confidence,Borrador,5,phrase_match
4d2b4a0a-803a-445c-8c8b-d029d9fa2bdb,SKU-64AF411C73,Set de escuadras kuromi,,,pending_manual,,,
32eb31b2-1a46-483e-8bf4-b58086d71f02,SKU-B353E19BF7,Silicona en barrra,,,assign_high_confidence,Silicona,5,phrase_match
752e174b-37e8-41e6-a16b-6c9eeceac877,SKU-7CD255990C,silicona liquida pequeña,,,assign_high_confidence,Silicona,5,phrase_match
0528c92d-5dbc-425d-b7cd-8b2574b00886,SKU-530AAFE75A,silvato pequeño,,,pending_manual,,,
05d10ae8-f9fb-4e56-a3d1-609adb325992,SKU-5AF26D5396,Sobre Manila A4 premium,,,pending_manual,,,
91d95acc-37e8-4183-9278-cdca5471d131,SKU-14F63E966D,Stiker cuaderno,,,assign_high_confidence,Cuaderno,5,phrase_match
5d587902-64ac-4dd8-8fbc-b97e1ea2b82c,SKU-BA9E6F373B,STIKER DE PRECIOS,,,assign_new_category,Sticker,,name_cluster
81fd5491-7f71-4c7f-9cb0-f97be9ca4330,SKU-5C73B60915,Stikers de Portada - Plancha,,,assign_new_category,Sticker,,name_cluster
880b732c-3f2c-4c86-bcd0-b50c0e9b12ab,SKU-448A8AC612,Stikers Have Love,,,assign_new_category,Sticker,,name_cluster
ac3ca922-03b4-49c3-b206-305f12e3ddf8,SKU-259711D0CD,Super esponja,,,pending_manual,,,
7b72d34a-cae7-4bc6-94e9-e01824cc8618,SKU-F8C11BD284,Tabla periodica,,,pending_manual,,,
e2b5852c-32f8-4525-9524-6efea47607e3,SKU-0D608B9E69,Tableros Acrilicos,,,pending_manual,,,
a70fb9f1-6234-4dce-9d56-b54286456dac,SKU-570671D729,Tapa boca negro,,,assign_new_category,Tapaboca,,name_cluster
825413ca-7898-421e-89e0-39c719cc06d6,SKU-5345D33C2E,Tapa boca pequeño,,,assign_new_category,Tapaboca,,name_cluster
cb6d9a36-d516-495c-b2c9-b2accd147532,SKU-16733DCBFC,Tapa boca pequeño rosado,,,assign_new_category,Tapaboca,,name_cluster
3a7230e5-089b-45e0-a8d1-727b9449c81d,SKU-4FD29741F2,taps,,,pending_manual,,,
bfa3491d-2afd-4a60-95cc-671b22ac73c3,SKU-8A83060E82,Tarjador animalitos,,,pending_manual,,,
375e866f-9cc4-4fc6-ae06-7be0dcd3f796,SKU-58B59695F9,tasa con rosas,,,pending_manual,,,
b2333e9c-b6da-47c0-be93-af0a91da8972,,Tijera Escolar con Rebote,Layconsa,,assign_high_confidence,Tijera,5,phrase_match
1eafa601-6269-4137-9611-714728910cc8,SKU-COMP-AYR-002-TRFOMY,Tira Fomy (ilegible),,,pending_manual,,,
da5f96cf-4506-4cb0-be2b-34fade0b3385,SKU-COMP-AYR-002-TROJOS,Tira Ojos,,,pending_manual,,,
3b3246fa-1324-4fa9-bfc3-5285ad9ff144,SKU-COMP-AYR-002-TRPERL,Tira Perlas,,,pending_manual,,,
0c193034-4c2d-41c4-b843-5c9d14ba63c4,SKU-COMP-AYR-002-TRROSA,Tira Rosa,,,pending_manual,,,
3c49265c-e055-48b1-a205-e1282e3e5b88,SKU-980BA39232,tiros,,,pending_manual,,,
3212c760-6f49-45ec-9ded-1a6b07707c5d,SKU-9F897FBDE0,Tomatodo Grande,Artesco,,assign_new_category,Tomatodo,,name_cluster
217949d7-8add-4d0e-9ff4-c4e1fde7f4a9,SKU-9A43DE1973,Tomatodo Mediano tricolor,,,assign_new_category,Tomatodo,,name_cluster
72f91adb-7817-4ad3-a55f-80b540d25016,SKU-31ACA0DEE5,Tomatodo pequeño,,,assign_new_category,Tomatodo,,name_cluster
8ce8b968-db6c-42a1-8d95-f2c2013c1a1e,SKU-3F113AD6D9,Trish,,,pending_manual,,,
af947bc0-69e8-40d4-8fa6-300187421592,SKU-35F30621F4,trompos,,,pending_manual,,,
8aab88e6-64a5-4cd6-b2b2-457a833ad636,SKU-E4F5832814,ula ula,,,pending_manual,,,
3cf5c61e-dd65-454f-b2a9-e1512d2136a8,SKU-232269CDDF,Vaso de plastico,,,pending_manual,,,
27e94aa3-4bcc-4e8a-b972-5695097ba4c1,SKU-1AE47B4AA5,vincha 104,,,pending_manual,,,
